,feature1,date,psi_co,psi_o3,psi_no2,psi_so2,psi_pm10,total_psi,year_month,year,month,feature2,day
0,9,1388-01-01,52.03,14,0.87,8.86,106.3,106.25,1388-01,1388,1,324,1
1,1,1388-01-02,71.73,14,3,7.22,104.2,104.17,1388-01,1388,1,325,2
2,0,1388-01-03,51.48,15,2,8.01,658.3,658.33,1388-01,1388,1,326,3
3,0,1388-01-04,50.37,16.9,3,12.88,316.7,316.67,1388-01,1388,1,327,4
4,1,1388-01-05,40.24,16,3,6.44,816.7,816.67,1388-01,1388,1,328,5
5,1,1388-01-06,53.84,16.7,2,7.94,112.5,112.5,1388-01,1388,1,329,6
6,2,1388-01-07,48.7,18.7,0.9,9.01,83.3,83.33,1388-01,1388,1,330,7
7,0,1388-01-08,30.53,19.9,1.15,10.98,175,175,1388-01,1388,1,331,8
8,0,1388-01-09,78,17,1.14,12.66,139.6,139.58,1388-01,1388,1,332,9
9,4,1388-01-10,77,13.3,2,6.63,95.8,186.42,1388-01,1388,1,333,10
10,0,1388-01-11,47.59,13.4,4,5.03,133.3,133.33,1388-01,1388,1,334,11
11,3,1388-01-12,76,16.7,2,13.29,108.3,174.52,1388-01,1388,1,335,12
12,1,1388-01-13,6.52,17.7,0.97,8.76,137.5,137.5,1388-01,1388,1,336,13
13,6,1388-01-14,10.68,17.4,3,7.78,116.7,116.67,1388-01,1388,1,337,14
14,6,1388-01-15,52.03,16.3,1,7.75,77.1,77.08,1388-01,1388,1,338,15
15,1,1388-01-16,71.73,20,0.86,8.47,75,75,1388-01,1388,1,339,16
16,3,1388-01-17,51.48,17,3,6.05,75,75,1388-01,1388,1,340,17
17,3,1388-01-18,50.37,13.5,3,8.01,104.2,104.17,1388-01,1388,1,341,18
18,4,1388-01-19,40.24,12,1,4.74,77.1,77.08,1388-01,1388,1,342,19
19,4,1388-01-20,53.84,12.9,2,6.14,75,75,1388-01,1388,1,343,20
20,5,1388-01-21,48.7,11.2,3,6.81,93.8,93.75,1388-01,1388,1,344,21
21,4,1388-01-22,30.53,13.5,3,8.97,116.7,116.67,1388-01,1388,1,345,22
22,2,1388-01-23,74,13.2,0.84,6.66,77.1,83.25,1388-01,1388,1,346,23
23,6,1388-01-24,78,12.2,1.03,11.78,106.3,186.42,1388-01,1388,1,347,24
24,5,1388-01-25,47.59,11.9,0.98,13.33,81.3,81.25,1388-01,1388,1,348,25
25,13,1388-01-26,77,12.4,1.09,18.77,75,174.52,1388-01,1388,1,349,26
26,6,1388-01-27,6.52,13.2,2,6.94,75,75,1388-01,1388,1,350,27
27,6,1388-01-28,10.68,12.9,1,7.42,75,75,1388-01,1388,1,351,28
28,4,1388-01-29,20.67,13.5,2,6.93,87.5,87.5,1388-01,1388,1,352,29
29,0,1388-01-30,7.08,17.6,2,10.27,131.3,131.25,1388-01,1388,1,353,30
30,0,1388-01-31,11.66,18.2,0.87,14.38,93.8,93.75,1388-01,1388,1,354,31
299,3,1388-02-01,16.65,18.3,2.9,6.89,83.3,95.88,1388-02,1388,2,355,1
300,5,1388-02-02,13.88,16.7,4.49,8.79,102.1,179.33,1388-02,1388,2,356,2
301,6,1388-02-03,11.1,20.7,4.66,12.54,137.5,187.26,1388-02,1388,2,357,3
302,4,1388-02-04,7.08,18,5.41,8.41,131.3,189.76,1388-02,1388,2,358,4
303,0,1388-02-05,7.35,13.4,4.57,5.08,83.3,79.17,1388-02,1388,2,359,5
304,0,1388-02-06,7.91,15.4,4,7.3,108.3,95.83,1388-02,1388,2,360,6
305,4,1388-02-07,10.96,13.4,7.16,4.94,120.8,112.5,1388-02,1388,2,361,7
306,2,1388-02-08,15.96,12.3,7,6.42,87.5,83.33,1388-02,1388,2,362,8
307,2,1388-02-09,8.74,11.4,6.61,5.4,120.8,106.25,1388-02,1388,2,363,9
308,2,1388-02-10,9.16,18.7,7.36,6.98,143.8,120.83,1388-02,1388,2,364,10
309,0,1388-02-11,6.94,20.6,8.32,12.09,143.8,141.67,1388-02,1388,2,365,11
310,3,1388-02-12,7.77,14,9.22,5.3,187.5,164.58,1388-02,1388,2,366,12
311,0,1388-02-13,9.3,12.9,4.17,6.19,379.2,332.29,1388-02,1388,2,367,13
312,4,1388-02-14,30.53,12.9,4.25,11.43,301,461.71,1388-02,1388,2,368,14
313,2,1388-02-15,18.73,11.2,3.58,10.85,164.6,152.08,1388-02,1388,2,369,15
314,8,1388-02-16,9.44,13.5,3.88,6.29,301,485.54,1388-02,1388,2,370,16
315,2,1388-02-17,19.98,13.2,2.81,6.78,850,770.83,1388-02,1388,2,371,17
316,4,1388-02-18,14.57,12.2,2.78,6.94,426,175,1388-02,1388,2,372,18
317,2,1388-02-19,12.9,11.9,6.9,5.11,389.6,515.33,1388-02,1388,2,373,19
318,0,1388-02-20,7.63,12.4,5.94,5.14,135.4,104.17,1388-02,1388,2,374,20
319,0,1388-02-21,11.1,13.2,2.78,5.38,152.1,141.67,1388-02,1388,2,375,21
320,4,1388-02-22,11.79,12.9,6.9,5.88,95.8,89.58,1388-02,1388,2,376,22
321,6,1388-02-23,16.51,13.5,5.94,6.16,116.7,104.17,1388-02,1388,2,377,23
322,2,1388-02-24,10.68,14,2.78,5.11,95.8,141.67,1388-02,1388,2,378,24
323,2,1388-02-25,10.68,13.4,3,6.89,110.4,89.58,1388-02,1388,2,379,25
324,0,1388-02-26,5.83,14.3,4,3.71,433.3,495.83,1388-02,1388,2,380,26
325,4,1388-02-27,7.91,16.7,2.58,4.72,139.6,154.17,1388-02,1388,2,381,27
326,2,1388-02-28,9.85,26.6,2.67,11.18,93.8,174.52,1388-02,1388,2,382,28
327,5,1388-02-29,10.96,32.4,1.54,13.05,100,179.95,1388-02,1388,2,383,29
328,2,1388-02-30,8.74,20.2,1.6,5,110.4,204.94,1388-02,1388,2,384,30
329,2,1388-02-31,6.24,16.7,0.87,6.87,104.2,233.83,1388-02,1388,2,385,31
609,0,1388-03-01,23,13,3,12.46,89.6,89.58,1388-03,1388,3,386,1
610,2,1388-03-02,24,14.3,1.08,14.72,141.7,141.67,1388-03,1388,3,387,2
611,0,1388-03-03,25,16.7,0.85,12.29,170.8,170.83,1388-03,1388,3,388,3
612,3,1388-03-04,20,32.4,2,7.92,97.9,97.92,1388-03,1388,3,389,4
613,4,1388-03-05,20,23.4,2,7.41,129.2,129.17,1388-03,1388,3,390,5
614,0,1388-03-06,20,20.1,1,8.4,129.2,129.17,1388-03,1388,3,391,6
615,0,1388-03-07,21,16.7,4,12.69,118.8,118.75,1388-03,1388,3,392,7
616,4,1388-03-08,21,19.1,2,12.82,133.3,133.33,1388-03,1388,3,393,8
617,0,1388-03-09,22,20.1,2,7.84,183.3,183.33,1388-03,1388,3,394,9
618,2,1388-03-10,22,19.9,1,9.38,116.7,116.67,1388-03,1388,3,395,10
619,0,1388-03-11,22,21.2,2,8.56,604.2,604.17,1388-03,1388,3,396,11
620,4,1388-03-12,69,15.5,3,10.23,139.6,139.58,1388-03,1388,3,397,12
621,1,1388-03-13,59,16.2,0.94,11.2,110.4,110.42,1388-03,1388,3,398,13
622,2,1388-03-14,64,15.2,3,8.55,81.3,81.25,1388-03,1388,3,399,14
623,2,1388-03-15,65,14.7,2,7.35,108.3,108.33,1388-03,1388,3,400,15
624,0,1388-03-16,8.19,16,3,9.65,455.8,455.75,1388-03,1388,3,401,16
625,0,1388-03-17,12.77,22,1,7.7,426,425.96,1388-03,1388,3,402,17
626,0,1388-03-18,14.57,17.7,2,9.73,152.1,152.08,1388-03,1388,3,403,18
627,2,1388-03-19,21.65,14.9,2,9.66,426,425.96,1388-03,1388,3,404,19
628,0,1388-03-20,17.34,11.9,0.93,14.86,461.7,461.71,1388-03,1388,3,405,20
629,4,1388-03-21,10.41,16.4,1,12.33,166.7,166.67,1388-03,1388,3,406,21
630,3,1388-03-22,10.55,15.7,0.85,12.89,191.7,191.67,1388-03,1388,3,407,22
631,4,1388-03-23,5.41,17.7,0.87,15.59,461.7,461.71,1388-03,1388,3,408,23
632,6,1388-03-24,9.44,17,1,13.07,537.5,537.5,1388-03,1388,3,409,24
633,0,1388-03-25,8.6,15.6,1,8.71,516.7,516.67,1388-03,1388,3,410,25
634,4,1388-03-26,5.97,13,3,10.82,389.6,389.58,1388-03,1388,3,411,26
635,6,1388-03-27,5.55,16,2,11.81,987.5,987.5,1388-03,1388,3,412,27
636,2,1388-03-28,46.9,13,1,11.76,1225,1225,1388-03,1388,3,413,28
637,4,1388-03-29,53.28,11,3,7.94,995.8,995.83,1388-03,1388,3,414,29
638,4,1388-03-30,48.84,11,2,9.47,537.5,537.5,1388-03,1388,3,415,30
639,2,1388-03-31,53.97,13.5,3,9.38,394.8,394.79,1388-03,1388,3,416,31
918,0,1388-04-01,76,17.6,2.65,13.08,83.3,106.83,1388-04,1388,4,417,1
919,2,1388-04-02,71.25,20.3,1.38,8.4,102.1,102.08,1388-04,1388,4,418,2
920,4,1388-04-03,68,21.6,1.63,9.99,150,150,1388-04,1388,4,419,3
921,4,1388-04-04,72,23.5,1.6,9.23,114.6,114.58,1388-04,1388,4,420,4
922,2,1388-04-05,70.53,17.2,1.64,12.57,100,100,1388-04,1388,4,421,5
923,0,1388-04-06,66.74,16.7,1.37,9.28,100,100,1388-04,1388,4,422,6
924,0,1388-04-07,66.02,16.2,1.39,7.87,858.3,858.33,1388-04,1388,4,423,7
925,2,1388-04-08,76,24.1,2.09,9.67,970.8,970.83,1388-04,1388,4,424,8
926,4,1388-04-09,62.95,18.7,1.19,7.32,426,425.96,1388-04,1388,4,425,9
927,0,1388-04-10,67,14.9,1.52,8.17,662.5,662.5,1388-04,1388,4,426,10
928,0,1388-04-11,48.34,14,2.35,10.76,600,600,1388-04,1388,4,427,11
929,0,1388-04-12,73,14.4,1.69,9.99,970.8,970.83,1388-04,1388,4,428,12
930,0,1388-04-13,71,14,1.15,8.09,1591.7,1591.67,1388-04,1388,4,429,13
931,4,1388-04-14,36.26,14,1.89,11.57,2950,2950,1388-04,1388,4,430,14
932,4,1388-04-15,11.54,15.2,2.32,12.98,1100,1100,1388-04,1388,4,431,15
933,0,1388-04-16,32.47,14.8,1.55,10.41,342.7,342.71,1388-04,1388,4,432,16
934,4,1388-04-17,68,24.4,1.25,8.46,462.5,462.5,1388-04,1388,4,433,17
935,0,1388-04-18,77,28.5,1.38,9.5,426,425.96,1388-04,1388,4,434,18
936,4,1388-04-19,70.53,14.8,1.33,8.98,327.1,327.08,1388-04,1388,4,435,19
937,0,1388-04-20,66.74,24.4,1.01,8.11,191.7,191.67,1388-04,1388,4,436,20
938,0,1388-04-21,66.02,28.5,1.48,9.69,168.8,168.75,1388-04,1388,4,437,21
939,0,1388-04-22,78,10.7,1.3,9.02,887.5,887.5,1388-04,1388,4,438,22
940,4,1388-04-23,62.95,11.9,1,3.66,1187.5,1187.5,1388-04,1388,4,439,23
941,2,1388-04-24,77,14.4,1,3.2,754.2,754.17,1388-04,1388,4,440,24
942,2,1388-04-25,48.34,15.8,2,2.61,408.3,408.33,1388-04,1388,4,441,25
943,2,1388-04-26,77,13.3,3,2.15,150,223.46,1388-04,1388,4,442,26
944,4,1388-04-27,76,12.9,3,1.14,162.5,162.5,1388-04,1388,4,443,27
945,0,1388-04-28,77,13.5,3,1.3,175,175,1388-04,1388,4,444,28
946,0,1388-04-29,70,13.2,2,1.5,162.5,162.5,1388-04,1388,4,445,29
947,0,1388-04-30,76,12.2,1.57,9.43,150,150,1388-04,1388,4,446,30
948,4,1388-04-31,76.84,11.9,1.88,10.41,404.2,404.17,1388-04,1388,4,447,31
1228,0,1388-05-01,43,24.2,1.92,63.88,156.5,156.52,1388-05,1388,5,448,1
1229,0,1388-05-02,59,32.1,1.19,64.09,187,187.02,1388-05,1388,5,449,2
1230,0,1388-05-03,43,34.2,1.56,64.27,112.4,112.4,1388-05,1388,5,450,3
1231,2,1388-05-04,42,33.3,1.58,64.18,139.2,139.17,1388-05,1388,5,451,4
1232,2,1388-05-05,33,31.7,1.43,63.91,105.8,105.81,1388-05,1388,5,452,5
1233,0,1388-05-06,45,34.2,4.54,64.18,93.7,93.67,1388-05,1388,5,453,6
1234,0,1388-05-07,40,47.1,4.07,64.51,418.6,418.58,1388-05,1388,5,454,7
1235,2,1388-05-08,25.5,26.7,2.66,63.93,3045,4397.63,1388-05,1388,5,455,8
1236,0,1388-05-09,69.38,29.2,1.79,64.03,964.3,964.25,1388-05,1388,5,456,9
1237,4,1388-05-10,73,32.5,1.91,64.1,307.3,307.34,1388-05,1388,5,457,10
1238,2,1388-05-11,39.66,37.1,1.55,63.91,194.2,194.17,1388-05,1388,5,458,11
1239,2,1388-05-12,72,34.9,4.64,64.95,180,180.04,1388-05,1388,5,459,12
1240,7,1388-05-13,7.08,50.8,4.38,66.71,322.4,322.4,1388-05,1388,5,460,13
1241,4,1388-05-14,9,39.2,2.62,67.96,126.2,126.17,1388-05,1388,5,461,14
1242,2,1388-05-15,18.27,42.1,2.3,68.02,93.9,93.85,1388-05,1388,5,462,15
1243,4,1388-05-16,6,47.1,2,68.35,133.6,133.58,1388-05,1388,5,463,16
1244,0,1388-05-17,10,34.2,1.39,68.51,150.8,150.81,1388-05,1388,5,464,17
1245,0,1388-05-18,11.22,35.3,2.19,68.56,149,149.04,1388-05,1388,5,465,18
1246,0,1388-05-19,17.11,43.7,2.41,68.77,91.2,91.17,1388-05,1388,5,466,19
1247,2,1388-05-20,13.53,43.3,1.14,68.15,330.3,330.31,1388-05,1388,5,467,20
1248,4,1388-05-21,7.75,47.1,1.12,67.91,188.5,188.5,1388-05,1388,5,468,21
1249,0,1388-05-22,7.86,41.7,2.95,68.24,174.2,174.17,1388-05,1388,5,469,22
1250,0,1388-05-23,4.72,34.6,1.85,68.14,112.7,112.71,1388-05,1388,5,470,23
1251,0,1388-05-24,7,45.4,1.95,68.52,100.3,100.33,1388-05,1388,5,471,24
1252,4,1388-05-25,78.74,56.2,3.82,69.35,122.9,122.88,1388-05,1388,5,472,25
1253,2,1388-05-26,55.15,51.7,3.79,69.76,182.1,182.13,1388-05,1388,5,473,26
1254,0,1388-05-27,50.64,47.1,2.48,69.73,187.6,187.63,1388-05,1388,5,474,27
1255,2,1388-05-28,65.56,43.3,3.81,69,449,449.02,1388-05,1388,5,475,28
1256,0,1388-05-29,58.85,52.9,2.7,69.18,777.8,777.75,1388-05,1388,5,476,29
1257,4,1388-05-30,47.06,41.2,0.84,69.79,731.8,731.75,1388-05,1388,5,477,30
1258,0,1388-05-31,58.28,40.4,1.51,69.93,677.9,677.93,1388-05,1388,5,478,31
1538,0,1388-06-01,4.02,29.6,2,69.77,511.7,511.71,1388-06,1388,6,479,1
1539,2,1388-06-02,4.86,47.9,2.65,69.93,550.1,550.07,1388-06,1388,6,480,2
1540,2,1388-06-03,3.47,46.7,1.85,69.57,94.2,94.19,1388-06,1388,6,481,3
1541,4,1388-06-04,3.75,39.6,1.88,69.52,85.9,85.88,1388-06,1388,6,482,4
1542,2,1388-06-05,2.7,42.4,1.24,69.88,133.4,133.4,1388-06,1388,6,483,5
1543,3,1388-06-06,3.89,45.8,1.07,69.66,73.1,73.15,1388-06,1388,6,484,6
1544,0,1388-06-07,3.89,40.8,1.65,69.7,91.9,91.9,1388-06,1388,6,485,7
1545,2,1388-06-08,8.46,42.9,3.31,69.15,82.3,82.31,1388-06,1388,6,486,8
1546,4,1388-06-09,3.17,46.7,1.21,68.83,151.5,151.5,1388-06,1388,6,487,9
1547,4,1388-06-10,6.24,50.8,2.2,68.69,121,121,1388-06,1388,6,488,10
1548,0,1388-06-11,5.97,53.7,2.5,68.4,142.6,142.65,1388-06,1388,6,489,11
1549,2,1388-06-12,4.3,48.3,1.72,68.54,146,146.02,1388-06,1388,6,490,12
1550,0,1388-06-13,3.33,47.5,1.1,69.03,84.2,84.23,1388-06,1388,6,491,13
1551,3,1388-06-14,4.72,45.8,2,69.08,98.5,98.5,1388-06,1388,6,492,14
1552,0,1388-06-15,4.72,52.1,1.66,69.42,97.1,97.06,1388-06,1388,6,493,15
1553,0,1388-06-16,7.08,45.4,4.11,69.4,73.7,73.71,1388-06,1388,6,494,16
1554,0,1388-06-17,5.27,43.7,2.73,69.2,107.6,107.65,1388-06,1388,6,495,17
1555,8,1388-06-18,9.02,53.3,5.12,69.18,147,147.02,1388-06,1388,6,496,18
1556,0,1388-06-19,3.61,56.7,1.75,69.3,89.5,89.54,1388-06,1388,6,497,19
1557,2,1388-06-20,5.13,62.9,1.13,69.31,109.8,109.83,1388-06,1388,6,498,20
1558,2,1388-06-21,23.03,51.7,5.97,69.36,87.4,87.42,1388-06,1388,6,499,21
1559,2,1388-06-22,6.66,71.6,4.31,69.4,92.1,92.1,1388-06,1388,6,500,22
1560,2,1388-06-23,5.83,67.1,2.14,69,606.4,606.4,1388-06,1388,6,501,23
1561,3,1388-06-24,3.19,63.7,1.02,69.19,152,152.04,1388-06,1388,6,502,24
1562,2,1388-06-25,4.3,58.7,1,69.21,119.5,119.48,1388-06,1388,6,503,25
1563,2,1388-06-26,11.52,20.4,1.01,68.87,498.5,498.47,1388-06,1388,6,504,26
1564,2,1388-06-27,3.61,28.7,0.89,69.19,140.8,140.83,1388-06,1388,6,505,27
1565,2,1388-06-28,5.55,19.6,3,69.61,429.7,429.65,1388-06,1388,6,506,28
1566,2,1388-06-29,2.64,15.8,1.06,69.62,380,380,1388-06,1388,6,507,29
1567,0,1388-06-30,5.41,20,2,69.07,326.6,326.61,1388-06,1388,6,508,30
1568,4,1388-06-31,5.39,17.8,2.6,69.31,113.9,113.87,1388-06,1388,6,509,31
1847,2,1388-07-01,4.44,44,0.93,7.95,195.8,195.83,1388-07,1388,7,510,1
1848,4,1388-07-02,4.02,32.6,3.95,7.95,147.9,147.92,1388-07,1388,7,511,2
1849,4,1388-07-03,4.44,32.9,2.26,6.19,147.9,147.92,1388-07,1388,7,512,3
1850,6,1388-07-04,4.02,29.1,2,6.12,137.5,137.5,1388-07,1388,7,513,4
1851,2,1388-07-05,3.75,36.1,2,8.66,154.2,154.17,1388-07,1388,7,514,5
1852,1,1388-07-06,5.27,34.3,5.13,9.35,152.1,152.08,1388-07,1388,7,515,6
1853,0,1388-07-07,4.3,28.5,3.18,11.92,503.4,503.42,1388-07,1388,7,516,7
1854,4,1388-07-08,5.41,35.5,6.27,12.19,139.6,139.58,1388-07,1388,7,517,8
1855,2,1388-07-09,5.97,43,7.52,8.53,160.4,160.42,1388-07,1388,7,518,9
1856,6,1388-07-10,5.83,32.7,1.46,9.69,145.8,145.83,1388-07,1388,7,519,10
1857,2,1388-07-11,9.57,35.1,3.91,8.44,158.3,158.33,1388-07,1388,7,520,11
1858,2,1388-07-12,8.88,43.4,2.52,8.13,455.8,455.75,1388-07,1388,7,521,12
1859,2,1388-07-13,9.3,28.2,4.11,10.45,102.1,102.08,1388-07,1388,7,522,13
1860,4,1388-07-14,3.89,48.9,5.11,9.09,431.9,431.92,1388-07,1388,7,523,14
1861,10,1388-07-15,9.02,42,1.05,6.52,162.5,162.5,1388-07,1388,7,524,15
1862,2,1388-07-16,11.66,42.1,1.46,8.57,97.9,97.92,1388-07,1388,7,525,16
1863,2,1388-07-17,7.22,45.9,1.17,8.89,87.5,87.5,1388-07,1388,7,526,17
1864,4,1388-07-18,13.6,37.9,1.91,6.62,122.9,122.92,1388-07,1388,7,527,18
1865,6,1388-07-19,77.15,15.5,1.92,5.69,166.7,166.67,1388-07,1388,7,528,19
1866,3,1388-07-20,22.76,33.7,2,8.2,461.7,461.71,1388-07,1388,7,529,20
1867,2,1388-07-21,25.11,35.8,3,4.92,172.9,172.92,1388-07,1388,7,530,21
1868,10,1388-07-22,15.96,38,1,6.57,431.9,431.92,1388-07,1388,7,531,22
1869,4,1388-07-23,18.18,37,0.87,6.96,515.3,515.33,1388-07,1388,7,532,23
1870,2,1388-07-24,16.37,35.2,3,4.63,525,525,1388-07,1388,7,533,24
1871,4,1388-07-25,16.37,37.9,3,4.28,75,75,1388-07,1388,7,534,25
1872,2,1388-07-26,14.71,47.3,1.36,3.96,122.9,122.92,1388-07,1388,7,535,26
1873,4,1388-07-27,26.92,46.4,2.17,5.22,187.5,187.5,1388-07,1388,7,536,27
1874,2,1388-07-28,22,38,3.53,6.81,195.8,195.83,1388-07,1388,7,537,28
1875,4,1388-07-29,20.56,45.6,2.37,6.27,185.4,185.42,1388-07,1388,7,538,29
1876,6,1388-07-30,18,47.3,4.21,8.06,562.5,562.5,1388-07,1388,7,539,30
2150,9,1388-08-01,9.85,64.6,11.84,71.1,516.9,516.88,1388-08,1388,8,540,1
2151,8,1388-08-02,15.54,67.9,14.53,71.7,92,91.96,1388-08,1388,8,541,2
2152,5,1388-08-03,5.55,71.2,15.07,71.32,185.3,185.25,1388-08,1388,8,542,3
2153,0,1388-08-04,7.35,55.8,15.7,71.79,493.9,493.88,1388-08,1388,8,543,4
2154,4,1388-08-05,8.46,36.7,20.09,73.16,111.9,111.88,1388-08,1388,8,544,5
2155,10,1388-08-06,14.15,71.6,6.25,73.05,105,104.96,1388-08,1388,8,545,6
2156,8,1388-08-07,6.38,67.5,6.03,72.9,118.8,118.83,1388-08,1388,8,546,7
2157,3,1388-08-08,3.33,75.8,7.11,72.52,394.4,394.38,1388-08,1388,8,547,8
2158,10,1388-08-09,5,80,9.66,73.1,135.4,135.36,1388-08,1388,8,548,9
2159,6,1388-08-10,17.21,77.5,2.43,72.94,146.6,146.61,1388-08,1388,8,549,10
2160,6,1388-08-11,4.86,71.2,7.35,72.46,662.2,662.23,1388-08,1388,8,550,11
2161,4,1388-08-12,8.05,83.3,15.29,73.27,857,857,1388-08,1388,8,551,12
2162,6,1388-08-13,5.55,87.1,27.62,74.36,1984.3,1984.26,1388-08,1388,8,552,13
2163,10,1388-08-14,12.21,84.2,31.98,74.28,1056,1055.96,1388-08,1388,8,553,14
2164,9,1388-08-15,9.99,90,25.44,73.9,344.3,344.32,1388-08,1388,8,554,15
2165,12,1388-08-16,6.94,84.6,48.35,73.98,601.4,601.38,1388-08,1388,8,555,16
2166,9,1388-08-17,6.24,17.1,78.93,74.21,179.5,179.48,1388-08,1388,8,556,17
2167,2,1388-08-18,10.82,17.1,68.23,74.24,192.7,192.7,1388-08,1388,8,557,18
2168,6,1388-08-19,26.5,15,57.59,74.06,153.5,153.48,1388-08,1388,8,558,19
2169,12,1388-08-20,14.71,17.5,16.5,74.11,607,607,1388-08,1388,8,559,20
2170,10,1388-08-21,26.78,20,39.33,74.19,1015,1014.96,1388-08,1388,8,560,21
2171,10,1388-08-22,53.42,20.4,30.37,74.42,1369,1369.04,1388-08,1388,8,561,22
2172,10,1388-08-23,18.45,26.2,3.55,74.03,903.5,903.48,1388-08,1388,8,562,23
2173,10,1388-08-24,19.84,20,14.08,73.94,474.2,474.17,1388-08,1388,8,563,24
2174,2,1388-08-25,9.3,15,9.25,74.71,108.1,108.1,1388-08,1388,8,564,25
2175,9,1388-08-26,18.18,10,14.38,75.05,66.1,75.05,1388-08,1388,8,565,26
2176,10,1388-08-27,16.37,29,17.78,72.14,116,116,1388-08,1388,8,566,27
2177,5,1388-08-28,16.37,30.9,9.17,71,145,145,1388-08,1388,8,567,28
2178,4,1388-08-29,14.71,30,2.37,70,135,135,1388-08,1388,8,568,29
2179,13,1388-08-30,26.92,24.2,4.21,73,462,462,1388-08,1388,8,569,30
2452,6,1388-09-01,9.21,36.2,18.5,13.65,72.9,72.92,1388-09,1388,9,570,1
2453,6,1388-09-02,20.18,41.7,24.91,16.24,77.1,77.08,1388-09,1388,9,571,2
2454,3,1388-09-03,6.69,43.1,42.8,17.54,77.1,77.08,1388-09,1388,9,572,3
2455,10,1388-09-04,19.55,27.9,31.24,19.67,81.3,81.25,1388-09,1388,9,573,4
2456,5,1388-09-05,11.35,27.8,14.69,13.68,25,27.83,1388-09,1388,9,574,5
2457,7,1388-09-06,12.74,36.5,22.58,14.78,68.8,68.75,1388-09,1388,9,575,6
2458,12,1388-09-07,4.67,17,11.46,14.99,70.8,70.83,1388-09,1388,9,576,7
2459,10,1388-09-08,2.4,41.6,32.2,16.28,85.4,85.42,1388-09,1388,9,577,8
2460,7,1388-09-09,1.51,38.1,48.32,19.47,102.1,102.08,1388-09,1388,9,578,9
2461,6,1388-09-10,8,43.9,40.33,22.46,93.8,93.75,1388-09,1388,9,579,10
2462,6,1388-09-11,6,45.2,64.46,22.77,100,100,1388-09,1388,9,580,11
2463,8,1388-09-12,15,36.1,67.01,24.27,102.1,102.08,1388-09,1388,9,581,12
2464,13,1388-09-13,5,39.8,43.97,21.42,79.2,79.17,1388-09,1388,9,582,13
2465,7,1388-09-14,10,42,18.96,45.81,75,75,1388-09,1388,9,583,14
2466,13,1388-09-15,9,30.5,5.51,17.94,20.8,30.5,1388-09,1388,9,584,15
2467,0,1388-09-16,15,29.8,1.5,14.17,29.2,29.83,1388-09,1388,9,585,16
2468,5,1388-09-17,9,27.3,6.46,14.09,50,50,1388-09,1388,9,586,17
2469,4,1388-09-18,8.58,29.7,16.3,14.97,75,75,1388-09,1388,9,587,18
2470,10,1388-09-19,4,27.1,15.7,15.35,66.7,66.67,1388-09,1388,9,588,19
2471,7,1388-09-20,8,34.3,33.76,16.16,72.9,72.92,1388-09,1388,9,589,20
2472,6,1388-09-21,7,37.7,45.85,19.73,70.8,70.83,1388-09,1388,9,590,21
2473,9,1388-09-22,5,38.1,5.38,21.59,58.3,58.33,1388-09,1388,9,591,22
2474,9,1388-09-23,4,38.2,12.54,15.46,56.3,56.25,1388-09,1388,9,592,23
2475,4,1388-09-24,7,35,22.61,14.77,66.7,66.67,1388-09,1388,9,593,24
2476,11,1388-09-25,6,39.7,28.5,17.68,70.8,70.83,1388-09,1388,9,594,25
2477,6,1388-09-26,4,36.1,7.91,15.43,33,36.08,1388-09,1388,9,595,26
2478,12,1388-09-27,11,35.3,31.73,13.03,45,35.33,1388-09,1388,9,596,27
2479,11,1388-09-28,21,39.2,32.77,15.46,97.9,97.92,1388-09,1388,9,597,28
2480,6,1388-09-29,15,30.1,12.69,13.94,120.8,120.83,1388-09,1388,9,598,29
2481,16,1388-09-30,22,24.2,17.61,13.93,93.8,93.75,1388-09,1388,9,599,30
2754,6,1388-10-01,45.51,47.9,9.95,81.14,110,109.98,1388-10,1388,10,600,1
2755,19,1388-10-02,18.32,45.4,7.07,81.75,78.4,81.75,1388-10,1388,10,601,2
2756,13,1388-10-03,15.82,41.7,6.6,82.21,74.1,82.21,1388-10,1388,10,602,3
2757,6,1388-10-04,25.67,45.8,5.15,82.79,67.1,82.79,1388-10,1388,10,603,4
2758,14,1388-10-05,5.41,42.1,2.05,83.07,76.3,83.07,1388-10,1388,10,604,5
2759,12,1388-10-06,8.05,33.7,2.93,83.12,76,83.12,1388-10,1388,10,605,6
2760,14,1388-10-07,17.62,32.1,6.11,83.25,80.2,83.25,1388-10,1388,10,606,7
2761,4,1388-10-08,18.18,30.4,6.15,83.22,102,102.02,1388-10,1388,10,607,8
2762,13,1388-10-09,22.06,32.1,6.99,83.88,85.6,85.6,1388-10,1388,10,608,9
2763,14,1388-10-10,8.74,57.5,3.55,83.15,63.1,83.15,1388-10,1388,10,609,10
2764,8,1388-10-11,5.27,50.4,1.86,82.19,69,82.19,1388-10,1388,10,610,11
2765,30,1388-10-12,8.46,42.1,3.2,81.76,73,81.76,1388-10,1388,10,611,12
2766,14,1388-10-13,9.44,33.7,4.35,81.86,73,81.86,1388-10,1388,10,612,13
2767,5,1388-10-14,11.1,37.5,3.98,82.49,90,90,1388-10,1388,10,613,14
2768,0,1388-10-15,19.98,36.7,5.37,79.62,86,86,1388-10,1388,10,614,15
2769,4,1388-10-16,14.85,38.7,2.92,77.61,104,104,1388-10,1388,10,615,16
